DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-e-s1,20.0,0.29,30,0.17297417432132972,0.0500785363617126,0.17693350525914972,0.04578621153479735,2.2889723008388874,-8.571186657517671,0.143107185243041,173.436295433732,169.55522333692429,6.496934099995997
DLC1.2-e-s2,20.0,0.31,30,0.1715528109831688,0.050009787854778276,0.1765130002614927,0.046158212721321784,2.8913482967122928,-7.701642615723447,0.78487907082605,174.8732639708441,169.95915289840931,6.249322899966501
DLC1.2-e-s3,20.0,0.29,30,0.13338378434946008,0.03263349988085495,0.13790809261414083,0.030315420939977918,3.3919477444328994,-7.103372146231168,1.6149209885338633,224.91489611211827,217.53618247725555,6.191195399966091
DLC1.2-e-s4,20.0,0.3,30,0.15425275954111836,0.04464689014521064,0.1577098427902558,0.03983294103122265,2.241180812208343,-10.782271952942246,-0.3285206990153666,194.48598578881862,190.22275001502678,5.585133699991275
DLC1.2-e-s5,20.0,0.27,30,0.1603298917815599,0.04860366573291895,0.16436828170411863,0.046529894802270315,2.5188003794456515,-4.266696553392036,1.1185092092971027,187.1142035128,182.51696549339957,5.668719099950977
DLC1.2-e-s6,20.0,0.3,30,0.15643562620172535,0.041705937090840674,0.16124835421491945,0.03906683621008937,3.0764910334350803,-6.32787815078466,1.3512864242513523,191.77217318333032,186.04841051595835,6.285921000002418
DLC1.2-f-s1,10.0,0.34,60,0.0749887505229293,0.019730921733498046,0.07722817540999119,0.017954069848315567,2.9863477807609895,-9.005417532855752,0.815987495958792,400.06000621155704,388.4592616714706,13.374974300037138
DLC1.2-f-s2,20.0,0.35,30,0.06566878843031346,0.01517337133036799,0.06791967286958094,0.013585733525594008,3.427632050279228,-10.463316096380526,1.2029178041012,456.8380309290381,441.698240473064,5.836184600018896
DLC1.2-f-s3,20.0,0.37,30,0.08883705924665207,0.027712543616769846,0.09125853627719974,0.026177119757214623,2.725750999731491,-5.540537457651784,0.9771875662688334,337.69690548520254,328.73637057769986,6.2264014999964274
DLC1.2-f-s4,20.0,0.36,30,0.07865803262222029,0.021597247765731874,0.08151132415743201,0.019974625016629066,3.627463642417217,-7.513099662992273,1.5297539177639763,381.39779244269107,368.0470205840064,6.16733030002797
DLC1.2-f-s5,20.0,0.35,30,0.08048463336101871,0.022347850599441416,0.08335318667422585,0.0209066228096797,3.5641006157536514,-6.449066693678973,1.658168676092453,372.7419601383183,359.91425399548024,5.94066100002965
